environment,seed,method_id,method,episode,scenario_seed,initial_observation_sha256,collision_event_observed,event_or_censor_time_steps,rmst_horizon_steps,network_frozen,updates_during_test
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,147,100147,a4a92cebfdc6791afbb7c7f5c4ff3a8c12f034f61f64fb9e9e954251e5c6a5ca,True,20,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,148,100148,e5a5822889e2d9fde91a88d44dfc5ee32d467d9ae8fbe1f09ea0faa43e50db14,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,149,100149,9c475c5bc7adb580443bcddee5ba919e6fd272c74ebe00f467d3dc44f2149b8f,True,20,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,150,100150,a8446003e3484497118662854fe4e0853457417477f203d44d6f379e0bfb995e,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,151,100151,668d6f5b88b6a5735e24be2185ed2016d39addf4abecc65c3430430373ac5618,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,152,100152,7c5a9f7225c15b119fa9c9f81e953e75763cc16558c229df0fa63fd905931000,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,153,100153,a806de6cd05ae85751bc9455c907c2c50da0bbb51a3c759f6a4bbe26990a105f,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,154,100154,18be03b03d43bbfa42d4cea3aef63d838260c97705f6a553bcaf65b57e3ac11c,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,155,100155,9e8debe58203eabf797f0b8bb0464d17d3754371da1404a107c32a601e13e5e3,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,156,100156,d719a598da269bb910ae5554b9aaad97ea9de9426fa9268fe1063af4001786bb,True,4,500,True,0
